Location,Period,Suicide_per_100000,Male,Female,PSEGDP,Old_Age,Survivors,Incapacity,Family,Labour,Unemployment,Housing,Health,Other,Total_GDP
Australia,2000,12.7,19.9,5.6,18.244,5.653,0.229,2.56,2.906,0.361,0.926,0.244,5.206,0.159,8.49137E+11
Austria,2000,19.9,29.8,10.6,25.688,10.083,2.228,2.704,2.929,0.504,0.922,0.101,5.924,0.292,3.36495E+11
Belgium,2000,22,31.5,12.9,23.654,6.817,2.089,2.006,2.468,0.83,2.755,0.033,5.968,0.688,4.05833E+11
Canada,2000,11.9,18.3,5.7,15.709,3.751,0.421,0.936,0.883,0.365,0.673,0.555,5.722,2.405,1.20714E+12
Chile,2000,10.3,17.9,2.9,10.397,3.952,1.061,0.799,1.139,0.212,0.054,0.418,2.518,0.244,4.87149E+11
Denmark,2000,15.6,22.6,8.8,23.765,7.986,0.011,3.807,3.395,1.844,0,0.646,5.057,1.018,1.44525E+11
Estonia,2000,29.1,48,12.6,13.914,5.9,0.267,1.535,1.744,0,0.127,0.097,3.969,0.275,3.11865E+12
Finland,2000,24.3,37,12.2,22.618,7.269,0.89,3.664,2.924,0.86,2.137,0.342,4.053,0.478,2.98221E+11
France,2000,20.2,29.2,11.7,27.705,10.232,1.464,1.683,3.006,1.172,1.42,0.853,7.56,0.315,1.15248E+12
Germany,2000,14.5,21.7,7.6,25.467,8.426,2.475,2.11,2.057,1.247,1.306,0.311,7.385,0.151,14057073775
Greece,2000,3.5,5.4,1.5,17.768,8.451,1.734,1.427,0.818,0.234,0.589,0.05,4.464,0,2.09135E+11
Hungary,2000,33.4,52.6,15.9,20.092,6.868,1.091,2.614,2.994,0.385,0.687,0.553,4.721,0.179,2.33352E+12
Iceland,2000,13.1,19.8,6.3,14.501,3.372,0.036,2.162,2.128,0.06,0.184,0.121,6.048,0.389,2.10087E+12
Ireland,2000,12.7,20.7,4.8,12.755,2.214,0.753,1.333,1.678,0.784,0.832,0.308,4.577,0.277,2.5151E+11
Israel,2000,6.8,10.7,3,16.154,4.3,0.713,2.103,2.404,0.241,0.559,0.313,4.292,1.228,1.07012E+11
Italy,2000,7.5,11.4,3.9,22.636,11.151,2.388,1.364,1.165,0.548,0.393,0.005,5.496,0.127,1.67812E+11
Japan,2000,23.9,34.6,13.6,15.354,6.541,1.134,0.687,0.548,0.27,0.559,0.038,5.444,0.133,10535472402
Korea,2000,14.5,19.9,9,4.412,1.162,0.192,0.322,0.102,0.355,0.072,0,1.962,0.247,1.74465E+11
Latvia,2000,34.7,60.4,12.8,15.359,8.35,0.459,1.541,1.492,0,0.549,0,2.766,0.1,2.06866E+12
Lithuania,2000,50.1,86.2,18.4,15.384,6.634,0.63,1.868,1.326,0,0.174,0,4.242,0.509,5.34894E+12
Luxembourg,2000,16.1,23.1,9.2,18.699,6.611,0.546,2.984,2.971,0.19,0.339,0,4.837,0.167,7.24597E+11
Mexico,2000,3.5,6,1.1,4.391,0.53,0.249,0.062,0.601,0.021,0,0,2.012,0.2,24267509230
Netherlands,2000,9.6,12.9,6.4,19.002,4.871,0.375,3.297,1.428,1.314,0,0,5.321,0.685,40777874685
New Zealand,2000,12.5,20.7,4.6,18.406,4.728,0.177,2.61,2.669,0.191,0,0,5.828,0.083,16489794024
Norway,2000,13.9,21.1,6.8,20.411,6.418,0.29,4.564,2.996,0.599,0,0,4.332,0.607,9.15216E+11
Poland,2000,17,29.2,5.4,20.217,8.477,2.065,3.448,1.18,0.253,0,0,3.649,0.113,7.39505E+11
Portugal,2000,7.6,12.4,3.1,18.478,6.578,1.297,2.24,0.974,0.61,0,0,5.904,0.247,3.66702E+11
Slovakia,2000,14.2,23.9,5.1,17.462,5.556,0.919,2.192,1.953,0.308,0,0,4.728,1.115,1.13241E+11
Slovenia,2000,32,47.9,16.7,22.095,9.994,0.454,2.589,2.133,0,0,0,5.689,0.379,3.26937E+11
Spain,2000,8.6,13.2,4.2,19.464,6.621,2.002,2.324,0.942,0,0,0,4.852,0.124,2.21207E+11
Sweden,2000,15.1,20.5,9.7,26.464,8.485,0.582,4.813,2.775,0,0,0,5.675,0.639,55615077762
Switzerland,2000,20.2,28.4,12.4,14.481,5.711,0.568,2.932,1.409,0,0,0,2.127,0.536,36841188520
